panel	source_file	record_type	iteration	day1_rho	day7_rho	day14_rho	mean_rho	min_rho	transition_rho	same_transition_programs	statistic	real_value	null_mean	null_q95	empirical_one_sided_p	null_percentile	permutations	deleted_from	deleted_participant	all_days_positive
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	105.0	0.428571428571429	0.0357142857142857	0.821428571428571	0.428571428571429	0.0357142857142857	0.571428571428571	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	106.0	0.785714285714286	0.25	0.607142857142857	0.547619047619048	0.25	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	107.0	0.892857142857143	0.178571428571429	0.607142857142857	0.559523809523809	0.178571428571429	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	108.0	0.464285714285714	0.75	0.75	0.654761904761905	0.464285714285714	0.75	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	109.0	0.5	0.535714285714286	-0.607142857142857	0.142857142857143	-0.607142857142857	0.642857142857143	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	110.0	0.892857142857143	-0.0714285714285714	0.714285714285714	0.511904761904762	-0.0714285714285714	0.642857142857143	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	111.0	0.571428571428571	0.571428571428571	0.607142857142857	0.583333333333333	0.571428571428571	0.642857142857143	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	112.0	0.571428571428571	0.142857142857143	0.142857142857143	0.285714285714286	0.142857142857143	0.392857142857143	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	113.0	0.642857142857143	0.785714285714286	0.607142857142857	0.678571428571429	0.607142857142857	0.785714285714286	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	114.0	0.25	-0.321428571428571	0.642857142857143	0.19047619047619	-0.321428571428571	0.75	5.0										
